title,name,location,time,verified,review,aircraft_model,type_of_traveller,seat_type,route,date_flown,rating,seat_comfort_rating,cabin_staff_service_rating,food_and_beverage_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
Boarding at Doha was chaotic,S Weber,Germany,2025-07-04,Trip Verified,,Boeing 789,Solo Leisure,Economy Class,Doha to Bangkok,July 2025,2,1.0,2.0,1.0,5.0,1.0,1,no
"""cancelled the connecting flight""",H Karish,Singapore,2025-07-03,Trip Verified,"Qatar Airways cancelled the connecting flight on the departure date when I was at the airport to check in for the first flight. So I had to quickly get another flight with another airline at the airport to fly on the same day. They did not contact me to inform that they can only process a refund if I cancel the return flight as well, which I only found out a couple days after I contacted the airline to check on the partial refund for cancelling my departure flights.",,Business,Economy Class,Singapore to Madrid via Doha,June 2025,1,,,,,,3,no
a good airline and decent value,Nigel Williams,United Kingdom,2025-06-21,Not Verified,,Boeing 777/A380,Solo Leisure,Economy Class,Bangkok to London Heathrow via Doha,June 2025,7,4.0,5.0,2.0,3.0,4.0,4,
"""arrived 77 minutes late""",Michael Beer,Austria,2025-06-20,Trip Verified,"Flight from Bali to Doha arrived 8 mins early, flight from Doha to Vienna arrived 77 minutes late. 2 toilets for 130 passengers in economy on the A320. Although Wheel chair was requested I had to walk to the aircraft.",,Couple Leisure,Economy Class,Denpasar to Vienna via Doha,June 2025,3,2.0,3.0,2.0,,3.0,2,no
"""pay attention to details that matter""",Theona Knight,Kuwait,2025-06-19,Trip Verified,"It is always a pleasure to experience Qatar's world class service. They are the best airline because they pay attention to details that matter to the customer. The cabin crew is efficient professionals. I like that they always know what they are doing, as if they take pride in what they are doing. They are also very warm and personable.  They chat with you rather than talk to you - if you understand what I mean. I also like that they remember your preferences OR take initiative when they need to. My cabin attendant remembered that I preferred sparkling water and delivered it with each meal, but he also knew with which of my meal courses to serve my two different wine selections. The food is excellent and the restrooms are kept clean. Pilots y communicate ahead of time if there will be turbulence or if any information needs to be shared. Little things like these make me feel like they care and if they care then I feel comfortable and safe.",,Solo Leisure,Business Class,Kuwait to Miami via Doha,June 2025,10,5.0,5.0,5.0,5.0,2.0,5,
"""Overall a great flight""",Michael Schade,Germany,2025-06-18,Trip Verified,"Al Safwa lounge in Doha outstanding as always. Last minute aircraft switch from A350-1000 to B773, but was equipped with Qsuite. Holding area at Gate A7 did not provide seats for the fully booked flight. Flight departed 30 min later, which resulted in a 1h delay into Heathrow, because of the restricted airspace at the moment. Food was great. Caviar service was a nice touch. The service was ok, but lacked in consistency. Coffee was served 30 min before the meal arrived, and it also took up to 30 min to clear plate between courses during the meal. New WiFi lighting fast, which resulted in loud WiFi chats among some pax. I had to tell them to stop! I think this will become a big issue in the future and IFA should be firmer on those inconsiderate people. Overall a great flight with some room for improvement for onboard service",Boeing 777-300,Solo Leisure,Business Class,Doha to London Heathrow,June 2025,8,5.0,3.0,5.0,4.0,4.0,5,
"""very enjoyable first time experience""",Ronald Zwart,New Zealand,2025-06-17,Not Verified,,A380,Couple Leisure,Business Class,Sydney to Doha,June 2025,10,5.0,5.0,5.0,5.0,5.0,5,
Service hectic and not overly friendly,Michael Schade,Germany,2025-06-17,Trip Verified,,Boeing 773,Solo Leisure,Business Class,Addis Ababa to Doha,June 2025,5,5.0,3.0,4.0,5.0,4.0,3,
hardworking cabin crew,Michael Schade,Germany,2025-06-12,Trip Verified,,A320,Solo Leisure,Business Class,Doha to Addis Ababa,June 2025,8,5.0,5.0,5.0,4.0,3.0,4,
average service and food,S Claasen,Netherlands,2025-06-11,Trip Verified,,Boeing 788,Solo Leisure,Economy Class,Bangkok to Doha,June 2025,6,2.0,3.0,3.0,4.0,5.0,3,
"""excellent and so helpful""",Warren Stocker,United Kingdom,2025-06-07,Trip Verified,,Boeing 777 / 787,Family Leisure,Economy Class,Seychelles to Gatwick via Doha,June 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""herring bone business class""!",Alwaleed Althani,Qatar,2025-06-05,Trip Verified,An ex Cathay Pacific 777 though this one was in a two class configuration probably from the ones used in the regional sectors of CX the herring bone business class was kept though the coloration and materials were Qatar Airways. The flight was full mid day departure from Doha with a strong tail wind arriving in Beirut a full 45 minutes early. IFE was non existent and WIFI worked well at the beginning but became non existent less than an hour into the flight. Catering was OK you can see that the route was not a priority.,Boeing 777,Family Leisure,First Class,Doha to Beirut,June 2025,7,4.0,4.0,3.0,1.0,5.0,3,
"""head and shoulders above the rest""",Karl Watkin,Australia,2025-05-29,Trip Verified,,A380-800,Solo Leisure,Economy Class,Perth to Warsaw via Doha,May 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""Fantastic staff""",E Larsen,New Zealand,2025-05-21,Trip Verified,,A350 / A380,Couple Leisure,Economy Class,Auckland to London via Doha,May 2025,10,4.0,5.0,5.0,4.0,5.0,5,
"""seats are terribly uncomfortable""",Debby van Zyl,South Africa,2025-05-19,Trip Verified,,A350-900,Couple Leisure,Economy Class,Prague to Cape Town via Doha,May 2025,6,1.0,5.0,3.0,,3.0,3,no
"""asked if I could be moved""",Mark Allen,United States,2025-05-02,Not Verified,,Boeing 777,Solo Leisure,Economy Class,Lahore to London via Doha,April 2025,5,3.0,4.0,5.0,5.0,1.0,2,no
"""out and back were outstanding""",Maria Basanou,Greece,2025-05-01,Trip Verified,"I had a flight multiple destinations trip booked both ways with qatar airways. From Athens - Doha and from Doha-Pnohm Penh via Saigon and the return from Bangkok-Doha-Athens. Both legs out and back were outstanding, Starting from the electronic check in and the well organised boarding and finishing with the baggage take out, the service in the plane and the food impeccable. The entertainment very updating and with new movies and games. Free wifi with excellent connectivity and the seats very comfortable for economy class. Also clean restrooms in the plane and the Doha airport super high class.",A320 / Boeing 777-300ER,Family Leisure,Economy Class,Athens to Phnom Penh via Doha,April 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""Q-suites are really nice""",Jason Hill,Australia,2025-05-01,Trip Verified,"We booked Sydney to Dublin return on business and later paid for an upgrade to first on the Doha - Sydney leg in both directions. The Q-suites in business are really nice and being able to close the door provides great privacy. The first class seats are even better with heaps of space but no ability to close off the area like with the Q-suites. Service in both business and first is excellent but it was a bit over the top in first and felt a bit insincere at times. The dedicated first class check-in at Doha is amazing with top notch personalised service and fast track security clearance. The Doha first class lounge is also amazing but on the return journey we were told that we shouldn't have had access to that lounge but they let us in. The big letdown on the flights was the food. We both had special vegan meals on all flights and the food was really bad. We found the Wi-Fi to be patchy during the flights. This may well have been the an issue with the third party provider but when you pay for unlimited Wi-Fi in business, it is frustrating when it doesn't work very well. This was our first time flying with Qatar and we had high hopes from an airline rated so highly. We've had better experiences with other airlines and we would be unlikely to fly Qatar again unless we specifically wanted to have another stopover in Doha.",,Couple Leisure,First Class,Dublin to Sydney via Doha,April 2025,6,5.0,4.0,2.0,5.0,5.0,3,no
"""My food was poor""",A Kelsim,Singapore,2025-05-01,Trip Verified,Very poor experience in January 2025. Check in was horrible with long wait. In-flight staff appeared exhausted. The plane was not connected to the airport and we had to be bused which was inconvenient. My food was poor. It was extremely disappointing.,,Business,Economy Class,Singapore to Doha,January 2025,3,3.0,1.0,2.0,3.0,1.0,1,no
"""The service was outstanding""",Mirzokhidjon Khayitboev,Uzbekistan,2025-04-29,Not Verified,,A320,Business,Economy Class,Doha to Karachi,April 2025,9,3.0,5.0,3.0,4.0,5.0,4,
"""WIFI service is amazing""",Alwaleed Althani,Qatar,2025-04-28,Trip Verified,"Midday departure from Doha is a very quiet time as is evening arrival in LHR. We were in an older B777 and it was installed with Qsuites. The new WIFI service is amazing, and nice caviar and Balik salmon with Turbot rounded a delicious meal. The IFE game selection was poor",Boeing 777-300,Couple Leisure,Business Class,Doha to London Heathrow,April 2025,8,5.0,5.0,5.0,3.0,5.0,4,
didn’t qualify for Qpoints,Mehdi Rakhamimov,Azerbaijan,2025-04-22,Trip Verified,,,Couple Leisure,Economy Class,Baku to Guangzhou via Doha,February 2025,3,4.0,4.0,3.0,3.0,3.0,3,no
"""comfortable and enjoyable flights""",Dhrubajyoti Samanta,United Kingdom,2025-04-19,Trip Verified,"I flew business class with Qatar Airways on their A350-900 featuring the Qsuite, and it turned out to be one of the most comfortable and enjoyable flights I’ve taken. Everything from the seat to the service felt thoughtfully designed and well-executed. It’s easy to see why Qatar Airways is so highly rated — this flight gave me a clear sense of what sets their business class apart. Qsuite privacy: the sliding door and fully enclosed suite created a personal sanctuary — perfect for work, rest, or relaxation. Full flat bed with soft pillows and a duvet for restful sleep. In-seat massage feature added to the comfort, especially on a long-haul journey. Gourmet-quality meals with a diverse menu. Every dish was beautifully presented and tasted amazing. Excellent selection of wines, spirits, and mocktails. High-quality amenity kit, soft pajamas, slippers, and other thoughtful touches. The cabin crew was warm, professional, and attentive throughout the journey. A350 cabin was quiet, smooth ride with mood lighting and large windows. Plenty of room to stow personal items. Wide selection of movies, TV shows, music, and more on a responsive touchscreen.",A350-900,Business,Business Class,Doha to Singapore,December 2024,10,5.0,5.0,5.0,5.0,5.0,5,
"""service was personal and faultless""",Graham Henrickson,Australia,2025-04-19,Trip Verified,"This was my first flight with Qatar and I arrived at the airport with anticipation.  was disappointed to learn I would not be travelling in their acclaimed Q Suite. They certainly lived up to what you would expect from an airline that has been awarded World’s Best Airline and recognised as having the World’s Best Business Class. There was one thing that needs to be addressed and that is the music played while boarding. It was ridiculously loud. Some of the things that really standout for me: Business Class passengers are given a sleeper suit to wear which was much appreciated. The inflight service was personal and faultless. The lay-flat function of the chair was extremely good, and the bedding material was great. The catering was the best I’ve experienced in a long time. The meals where truly exceptional and the fact they offer caviar to business class passengers is remarkable. This airline truly deserves the accolades it has received, and I can’t wait for my next flights with Qatar which at this stage will be in November this year.",A 350-900,Solo Leisure,Business Class,Rome to Doha,March 2025,10,5.0,5.0,5.0,5.0,5.0,4,
"""wonderful service provided""",Antony Peter,India,2025-04-18,Trip Verified,"I was travelling to Cochin on Nov 21st 2024 going home for my vacation, and before i boarded the flight from Doha to Cochin i was upgraded from Economy to Business class in that sector. The service was exceptional and i still remember one of the flight attendant Aravind who was going extra mile to help me with the food. I am so proud to become a silver card member in Qatar Airways. Thank you Qatar Airways for all the wonderful service provided to passengers.",,Solo Leisure,Business Class,Miami to Cochin via Doha,February 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""The WIFI was super fast""",Alwaleed Althani,Qatar,2025-04-16,Trip Verified,Excellent check in service at Male though it was high season in the Maldives and very high passenger volumes but they were efficient and courteous big shout out to Abdullah. The flight left ahead of time because of the great job the ground staff did. The plane had lie flat angled business class had a mid row but I did not mind as a night departure from Male is not like a day time departure which is a heavenly scene. Onboard service was nice and dinner was like Jeckel and Hyde the Tuna and Scallops appetizer was excellent but the steak overdone and unchewable. The WIFI was super fast I could view YouTube and everything else.,A350-900,Family Leisure,Business Class,Male to Doha,April 2025,10,4.0,4.0,2.0,5.0,5.0,4,
"""best Business Class flight""",N. Siotto,United Arab Emirates,2025-04-13,Trip Verified,Probably the best Business Class flight of my life and I have been traveling extensively in the last thirty years. Went from Dubai to Milan via Doha and back within five days. The configuration of the seats was different from one leg to another. The first leg was with the Q Suite game changer and the second with a more regular seat but still extremely comfortable. All flights punctual or landed earlier. In all routes the service was impeccable. The catering was comparable with a five star restaurant. Clean toilets. The comfort of the seats was unparalleled. Endless selection of movies. Onboard WiFi was very fast and reasonably priced.,A350-900,Business,Business Class,Dubai to Doha,April 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""has become my favourite airline""",Don Beddage,Canada,2025-04-11,Trip Verified,"Qatar Airways has become my favourite airline on the Toronto to Colombo route, which my family and I travel in Business Class, once or twice a year. I thoroughly enjoy the QSuite on the long leg of the flights to and from Doha. The privacy and the comfort offered by the QSuite is unparalleled to any other airline which operates on this route. The service from the cabin staff is outstanding, and I have enjoyed attentive service with a smile. Meal options and the option to enjoy meals at one’s convenience is an added feature. I appreciate the fact that, since last Autumn, Qatar flies in and out of Toronto Pearson Airport, which significantly reduces the travel time. We previously had to travel to Montreal in order to take Qatar Airways. Complimentary wifi on board is definitely appreciated.",Boeing 777,Solo Leisure,Business Class,Colombo to Toronto via Doha,March 2025,10,5.0,5.0,5.0,5.0,5.0,5,
cabin service was excellent,Alwaleed Althani,Qatar,2025-04-08,Trip Verified,,Boeing 777,Family Leisure,Business Class,Doha to Male ,April 2025,9,4.0,5.0,3.0,3.0,5.0,4,
"""I complained on each flight""",Jonathan Griffiths,Japan,2025-04-06,Trip Verified,"I flew from Tokyo Narita to Sofia via Doha and returned to Tokyo from Bucharest via Doha. Despite having reserved a vegetarian meal, on all flights crew forgot and I had to remind them. I complained on each flight and met the same reaction - a crew member telling me that this never usually happens, apologizing profusely, and promising that everything will be okay on the next flight. By the time it occurred for the 4th time on the 4th flight, I was finding it all rather frustrating and perplexing. On the flight from Bucharest to Doha I was given dirty cutlery and the cabin assistant whose attention I brought it to wasn't apologetic. She took the spoon from me and said it was a mistake and she would get a new one. In the end I had to call the senior cabin assistant who did apologize.  I found the inflight map system on 3 of the 4 flights to be extremely old fashioned. It was just a basic low-resolution non-interactive map of the kind that airlines used to provide when adding maps to the online entertainment was a new thing (fifteen or twenty years ago). On a long flight, I find the interactive maps to be very interesting and help to pass the time.  When I asked a crew member on the Bucharest to Doha flight how to check the movies I had placed on my favorites list, she said that such a feature does not exist on the inflight entertainment system for this aircraft. However, it did as I had already used it on a previous Qatar flight using the same model of aircraft and I had already added my favorite movies for this flight onto my list. I was unable to remember how to view the list. I tried to explain this to her, but she said that no such system existed and explained that not all aircraft have this feature. In the end, I played around for ten minutes or so and figured it out myself. I wouldn't have minded if the crew member was honest and said she didn't know or that she needed to check with someone else. I don't understand how Qatar are ranked up there with the top airline. The only thing that went well was that all four flights left on time.",Various,Solo Leisure,Economy Class,Tokyo to Sofia via Doha,April 2025,3,3.0,1.0,1.0,2.0,3.0,3,no
"""a pleasure flying with you""",Petrus Smith,South Africa,2025-03-30,Trip Verified,,,Business,Business Class,Johannesburg to Amman via Doha,March 2025,9,5.0,5.0,5.0,3.0,5.0,5,
still not heard from them for 5 weeks,Ian Goody ,United Kingdom,2025-03-27,Not Verified,,Boeing 777 ,Solo Leisure,Economy Class,Perth to London Heathrow via Doha,July 2024,2,1.0,2.0,2.0,3.0,3.0,3,no
"""cabin was unbearably cold""",A Jalenad,United States,2025-03-21,Trip Verified,,Boeing 777,Family Leisure,Economy Class,Doha to Seattle ,March 2025,1,2.0,1.0,,4.0,2.0,2,no
"could have just let me move""",T Reddy,India,2025-03-18,"Trip | Since 2023, I have consistently avoided flying Qatar Airways because of my sub-par experience in Economy Class. There are only 2 options to Maputo either Qatar Airways or Ethiopian and I decided to go with Qatar. Mumbai to Qatar leg is operated by Indigo which has no IFE and on a 3.5 hour flight, you get a sandwich and a small juice with some crackers and really uncomfortable seats (I admit that was my mistake since I did not check thoroughly).  Boarding for the flight to Maputo was chaos by a disorganised gate agent. After departure they served a sandwich, due to the tight connection time, I did not have any time to pick up snacks at the airport. I ended up seated next to a plus sized lady with a rather fussy infant, who had a middle seat. Later, I saw there were quite a few empty seats and they could have just let me move and allowed both of us a bit of comfort, but by the time the seat belt signs were off, others had already spread out and fallen asleep in those seats. The main meal was served 1.5 hours before arrival in Maputo and while the taste was good it was inadequate. My IFE stopped working 5 hours or so into the flight. ",,A350-900 / Boeing 737 Max8,Solo Leisure,Economy Class,Mumbai to Maputo via Doha,March 2025,2,2.0,2.0,2.0,,1.0,2,no
Indigo service not up to expectations,T Reddy,India,2025-03-18,Trip Verified,,A350-900 / Boeing 737 Max8,Solo Leisure,Economy Class,Maputo to Mumbai via Doha,March 2025,6,4.0,3.0,3.0,3.0,4.0,3,no
"""Very consistent service""",Luis De Jesus,United States,2025-03-16,Trip Verified,"Another great flight. Very consistent service, consistent quality of food and comfortable aircraft. The service on the flight was just spot on. I would recommend them based on how consistent they are.",,Business,Business Class,Bangkok to Doha,February 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""service was spot on""",Luis De Jesus,United Kingdom,2025-03-16,Trip Verified,"Amazing from beginning to end. Amazing service, food and cabin. The variety and the quality of the food is mind blowing. The service was spot on and attentive. The seat was comfortable and private.",,Business,Business Class,Doha to Phuket,February 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""top quality crew""",Luis De Jesus,United States,2025-03-16,Trip Verified,"This flight was just the dream! 14hrs of first class service with top quality crew, amazing food, great Q Suite. The flight was so smooth, and pleasant, the hospitality was amazing.",,Business,Business Class,Doha to New York,February 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""ruined a checked roller bag""",Mike Grandinetti,United States,2025-03-15,Trip Verified,"Dammam with a stop in Doha en route to Boston they ruined a checked roller bag of mine. 3 months later, I have yet to get any resolution. They have delayed repeatedly, sending me in an endless circle of unresponsive bureaucracy. I have lost respect for what was once my favorite airline.",,Business,First Class,Damman to Doha,December 2024,2,4.0,4.0,,,1.0,1,no
"""chaotic transfer at Hamad airport""",Michael Schade,Thailand,2025-03-12,Trip Verified,"Checkin, security and immigration at DXB airport swift, lounge with good a la carte options and friendly service. Boarding well organized. Delayed by 45 minutes due to bad weather. Flight uneventful. Despite delayed arrival, remote stand with bus transfer. It took me 50 minutes from arrival at remote stand till arrival at the terminal.  My plan to have a nice breakfast at the lounge was shattered. I had just a 10 minutes at the Platinum/Gold lounge, but left because there was no seat available, no clean cup to make a coffee, and long toilet queues. My flight to Bangkok was a remote stand bus gate. Boarding was poorly organized, as Business class and status guests were asked to wait till Economy has done boarding; the gate agent changed his mind and let C Class and status guests on the bus after 2 bus loads of Y class passengers had gone. It was rather chaotic. The flight on a leased CX aircraft was on time and uneventful. The IFE screens in the bulkhead rows of my section were broken, but large IPads were offered as a replacement, which was great. My food was mediocre. The flights were ok, but the chaotic transfer at Hamad airport left a bitter aftertaste.",A350,Solo Leisure,Economy Class,Dubai to Doha,February 2025,4,4.0,4.0,3.0,4.0,1.0,2,no
"""pleasant and uneventful""",Michael Schade,Thailand,2025-03-08,Trip Verified,"First leg was in Economy, 2nd in First. Check in at BKK airport fast and friendly. Contract lounge at the new Satellite terminal large, but limited western breakfast options. Boarding started 30 minutes late and another 15 minutes wait at the air bridge. Service was good with slightly improved F&B offerings. I was lucky to be on an aircraft with their upgraded WIFI services which worked real well. 3-4-3  configuration with rather hard seats. Transfer in Doha was good with a stay at the Al Safwa F lounge. Food was good. My final leg to Dubai was changed from a Qsuite to a 2-2-2 configuration. After many back and forth, they were willing to change to another Qsuite flight 30 minutes later. The flight was pleasant and uneventful.",B773/A350,Solo Leisure,Economy Class,Bangkok to Doha,March 2025,6,4.0,5.0,4.0,4.0,5.0,4,
"""Qatar Airways changed the aircraft""",J Dayle,United States,2025-02-24,Trip Verified,Qatar Airways changed the aircraft and did not notify us. We entered the Boeing 777 cabin to find that we had Paid for a Mercedes and would be flying in a Mini-Cooper. I didn't know airplanes with this drastically old configuration were still even in service. TIt was a miserable experience and we are changing our refundable return tickets to another airline. I won't be spending any money on Qatar Airways in the future!,,Business,Business Class,Chicago to Doha,February 2025,1,1.0,5.0,2.0,1.0,1.0,1,no
"""attendants were very helpful""",S Melkov,United Kingdom,2025-02-24,Trip Verified,"On my way to Doha, it was amazing, flight attendants were very helpful and attentive. Doha to Colombo was delayed and after take off asked for a drink which I was told would be served in about 10 minutes, it took more than an hour for cabin crew to star serving drinks and food. After the service they never came back to ask if anything else was needed.",A330,Solo Leisure,Economy Class,Gatwick to Colombo via Doha,February 2025,3,5.0,2.0,,,5.0,4,
"""Both flights were excellent""",Walter Gujer,Thailand,2025-02-18,Trip Verified,"Both flights were excellent. Kind and professional staff on both flights, good food options (like that I can chose when to eat), comfortable flights. Due to distances at Doha airport, I appreciated that one of the small cart drivers offered his services to take me as close as possible to the train, connecting me to the center of the main terminal.",A350 / Boeing 777,Solo Leisure,Business Class,Zurich to Bangkok via Doha,February 2025,10,5.0,5.0,5.0,4.0,5.0,5,
"""discourtesy with the security staff""",K Brawn,United Kingdom,2025-02-18,Trip Verified,"I have been a frequent traveller throughout my nearly 60 years as an air passenger. In all that time, I have never encountered such an unprecedented level of discourtesy as I did with the security staff at the Qatar Airways gate. at Doha. My husband and I had already smoothly passed through two transit security checks with Qatar Airways on our return journey from New Zealand. As we tried to board Business Class, I was surprised to be pulled over again for another bag check. The treatment I received was rude and demeaning. Everything in my rucksack was unpacked, which was then swabbed inside and out. I was manually body searched in front of everybody and my clothes, shoes and even hair was swabbed. This took place for a prolonged period of time in front of every other passenger that filed past - the flight had been called. When I subsequently touched one of the items in the second tray of my belongings (to open the zip to demonstrate there were only documents inside) the lady raised her voice, ordering me to stand back and not to handle any of my possessions. I tried to explain I was only trying to help but was met with more incivility. I would add that my husband, who was stood with me, had to witness this affront without any recourse to offer his assistance. When I was finally allowed to leave - the lady having found nothing of any suspicion - I felt utterly humiliated. This awful experience with Qatar Airways was only saved by the helpful and impeccable service of a wonderfully professional air steward on board called Eugenia - thank you kind lady. Her humanity and warmth restored my equilibrium. However the overall experience of our return journey was that, with the exception of Eugenia, the customer service is appalling. . I understand security is important but there was no need for my encounter to be as intimidating, embarrassing and uncivil as it was.",,Couple Leisure,Business Class,Melbourne to Gatwick via Doha,February 2025,1,5.0,2.0,2.0,2.0,1.0,3,no
"""Good but food needs improvement""",Ishan Jani,United States,2025-02-13,Not Verified,,A350-1000,Family Leisure,Economy Class,Miami to Doha,January 2025,6,3.0,5.0,5.0,5.0,5.0,3,
"""the flight was amazing""",Ishan Jani,United Kingdom,2025-02-13,Not Verified,,787-8,Family Leisure,Economy Class,Doha to Ahmedabad,January 2025,7,4.0,5.0,5.0,5.0,5.0,3,
epitome of comfort and privacy,Rajan Parrikar,Iceland,2025-02-10,Trip Verified,,A350-900,Solo Leisure,Business Class,Doha to Copenhagen,February 2025,10,5.0,5.0,5.0,,5.0,5,
true premium service,Rajan Parrikar,Iceland,2025-02-10,Trip Verified,,Boeing 787-8,Solo Leisure,Business Class,Goa to Doha,February 2025,10,5.0,5.0,5.0,,5.0,5,
"""excited to fly again on an A380""",Walter Gujer,Thailand,2025-02-08,Trip Verified,"Very excited to fly again on an A380, my favorite aircraft. Check-in was nice and friendly, loved the lounge and staff there too! While the male crew were nice and looked happy, the female staff were mostly sour. Did not appreciate when the crew put my meal on my tray while I was at the bar. When I returned, the food was stone cold. I discussed that with the excellent purser. After that, the staff were sickly sweet. I decided to spend most of the time at the bar. Shame, but the next flight on Qatar was again excellent.",A380,Solo Leisure,Business Class,Bangkok to Doha,February 2025,7,5.0,3.0,,,5.0,4,
customer services unhelpful,Tilly Hoskins,United Kingdom,2025-02-08,Trip Verified,,,Solo Leisure,Economy Class,London Heathrow to Hong Kong via Doha,February 2025,1,1.0,1.0,,,1.0,1,no
exceptional service and attention,Samantha Svhucroft,Australia,2025-02-07,Not Verified,,A380,Solo Leisure,First Class,Perth to Prague,December 2024,10,5.0,5.0,5.0,5.0,5.0,5,
cabin crew worked tirelessly,Tai Wei Wong,Malaysia,2025-02-04,Trip Verified,,A350-1000,Business,Business Class,Kuala Lumpur to Houston via Doha,February 2025,9,5.0,5.0,5.0,5.0,5.0,4,
"""crew were attentive and approachable""",Azlan Hashim,Malaysia,2025-02-03,Not Verified,,Boeing 777-300ER,Solo Leisure,Economy Class,Doha to Istanbul,October 2024,8,4.0,5.0,4.0,5.0,5.0,5,
"""outstanding experience""",Dr. Akeil Al-Faraj,Canada,2025-01-28,Trip Verified,,,Family Leisure,Economy Class,Doha to Amman,January 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""the service is always so good""",Claus Falsig,Denmark,2025-01-27,Trip Verified,"I fly often with Qatar. Over 10 times per year, and the service is always so good. Very nice staff both at ground and at Cabin. I usually fly Economy and rarely get upgraded or I more often use points to upgrade my self. But still on long flights from Europe to Asia over Doha on Economy is a great experience.",,Business,Business Class,Copenhagen to Beijing via Doha,January 2025,10,5.0,5.0,5.0,5.0,5.0,5,
"""check-in at Calicut was slow""",Shayne Haridas,Saudi Arabia,2025-01-27,Trip Verified,,,Solo Leisure,Economy Class,Calicut to Dammam via Doha,January 2025,4,1.0,4.0,3.0,1.0,1.0,2,
"""consistently ranks at or near the top""",Rajan Parrikar,Iceland,2025-01-14,Trip Verified,"Doha to Goa (Mopa Airport) in Business Class on Qatar Airways. This short flight, lasting just under three hours, featured Qatar Airways' non-Qsuite Business Class seats. Despite the absence of Qsuite, the experience was supremely comfortable, as is expected. The onboard service was warm and attentive, complemented by their signature on-demand meal offerings. The seamless blend of comfort, service, and sophistication once again highlights why Qatar Airways’ Business Class consistently ranks at or near the top.",Boeing 787-8,Solo Leisure,Business Class,Doha to Goa,January 2025,10,5.0,5.0,5.0,,5.0,4,
"""noticeable upgrade in meal quality""",Rajan Parrikar,Iceland,2025-01-14,Trip Verified,"Copenhagen to Doha on Qatar Airways in Business Class in Dreamliner 787-9. This aircraft features Qatar Airways’ standard non-Qsuite Business Class seating configuration. Despite the absence of the Qsuite, the seats are exceptionally comfortable, ensuring a luxurious experience. The inflight service was flawless, showcasing their hallmark on-demand meal service. I was particularly impressed by the noticeable upgrade in meal quality. The vegetarian option was thoughtfully prepared, with a refreshing lightness compared to the heavier, oilier meals of previous years. Overall, this was an outstandingly comfortable flight that lives up to Qatar Airways’ reputation for delivering the finest Business Class experience in the skies.",Boeing 787-9,Solo Leisure,Business Class,Copenhagen to Doha,January 2025,10,5.0,5.0,5.0,,4.0,4,
Crew always ready to help,Willy Fischer ,France,2025-01-09,Trip Verified,,Boeing 777,Solo Leisure,Economy Class,Doha to Paris CDG,September 2024,10,5.0,5.0,5.0,5.0,5.0,4,
"""we were silver members""",David Sims,Australia,2025-01-05,Trip Verified,,A350-900,Couple Leisure,Economy Class,Barcelona to Doha,January 2025,2,5.0,2.0,1.0,5.0,1.0,4,no
"""the flight with Qatar Airways was great""",L Han,Germany,2025-01-05,Trip Verified,"Overall the flight with Qatar Airways itself was great, but the flight with one of its partner Malaysia Airlines to KUL is just terrible. For the Munich to Doha route, usually it is flown by the Boeing 787 or A350-900 which does not have QSuite, but on the day of my travel, we got the 777 with QSuite which was a huge upgrade from these types of planes that usually operate this route. Food was great, Staff was great, Entertainment was Good, WIFI is free for Privilege Club Member up to 1 hour. Arrived in Doha and we enjoy their Al Mourjan Business Lounge located at The Garden. Then we continue to Kuala Lumpur with Malaysia Airlines and the food was terrible, entertainment was very limited, WIFI was slow and staff was not so great. Qatar Airways needs to stop handing over their flights to their partners like MH and continue to operate their own daily flights instead.",Boeing 777-300ER,Family Leisure,Business Class,Munich to Doha,January 2025,6,5.0,5.0,5.0,5.0,5.0,1,
"""pretty disappointing flight""",Hubert Josef Lefarth,Germany,2025-01-02,Trip Verified,"We had a pretty disappointing flight. As we boarded in Barcelona, ​​I noticed that the flight attendants didn't seem particularly friendly. The plane was old, my partner's screen didn't work, and the seat in front of me was difficult to recline. Service on the night flight didn't start until 1.5 hours after takeoff, which pretty much ruined our night. The quality of the food has been better before, there were no refills of drinks and no coffee before landing let alone breakfast. We are very disappointed this time and hope that it was just a bad exception and that Qatar will maintain its level in 2025.",,Couple Leisure,Economy Class,Barcelona to Doha,January 2025,5,3.0,2.0,3.0,3.0,5.0,3,
